Ekspresi,Gendre,Artist,Lagu,Tahun
Bersemangat,Rock,A7x,Burried alive,2010
Netral,Rock,Gerard Way,I Don't Love You,2006
Sedih,Classical,Panji Sakti,Fragmen Perahu,2022
Netral,Pop,Kiana Ledé,Wicked Games,2018
Bersemangat,Metal,I Prevail,Bow Down,2019
Bersemangat,Dangdut Jawa,Guyon waton,Tresno liyane,2020
Bersemangat,Reggae,Steven Coconuttreez,Lagu Santai,2008
Bersemangat,Pop Punk,Rumah Sakit,Kuning,2012
Netral,Pop,Maher Zein,Masya Allah,2016
Netral,Indie,Amigdala,Ku Kira Kau Rumah,2018
Netral,Pop,Idgitaf,Satu satu,2022
Bersemangat,Pop,Coldplay,Adventure of a lifetime,2015
Bersemangat,Rock,Noah,Walau Habis Terang,2014
Bahagia,R&B,Taylor swift,Lover,2019
Netral,Pop,Nadin Amizah,Rayuan perempuan gila,2023
Netral,Pop,Adele,Easy On Me,2021
Netral,Pop,Fiersa Besari,Garis terdepan,2015
Bersemangat,Pop Punk,Closehead,Heart of pop,2008
Bersemangat,Jazz,Ardhito Pranomo,Can't stop loving you,2017
Netral,Pop,Tiara Andini,Tega,2023
Bersemangat,R&B,Hindia,Cincin,2023
Bahagia,Classical,Raim laode,Komang,2022
Sedih,Ballad,Kang Seulgi,Always,2019
Bahagia,Pop,Hindia,Cincin,2023
Sedih,psychedelic rock,The Beatles,Lucy in the sky with diamonds,1967
Sedih,R&B,Yura yunita,Dunia tipu-tipu,2021
Netral,Koplo,Adella,Dumes,2023
Sedih,Pop,Bernadya,Satu Bulan,2023
Bersemangat,Pop,Martin Garrix feat Justin Bieber,There For You,2017
Sedih,Pop,Adele,Easy on Me,2021
Bahagia,Pop,GAC,Bahagia,2015
Bersemangat,Pop,JKT48,Rapsodi,2020
Bahagia,Pop,Awdella,Tertawan hati,2022
Bahagia,Pop,reality club,alexandra,2019
Netral,Pop,Tiara Andini,Menyesal,2023
Sedih,Pop,Reality Club,Anything you want,2022
Marah,70' punk,the jansen,i wanna be with you,2020
Bahagia,Pop,Shawn Mendes,There's Nothing Holdin' Me Back,2017
Netral,Pop Punk,endank soekamti,semoga kau di neraka,2010
Bersemangat,70' punk,the jansen,dua bilah mata pedang,2022
Marah,Rock,Linkin Park,In the End,2000
Bersemangat,Pop,Ed Sheeran,Shape of You,2017
Sedih,Pop,Sisca Saras,Ilusi,2022
Sedih,Indie,Idgitaf,Satu-Satu,2022
Bersemangat,Pop Punk,Blink-182,All The Small Things,1999
Bahagia,Classical,The Beatles,Hey Jude,2006
Sedih,Pop,NCT Dream,Like We Just Meet,2023
Bersemangat,Pop,ONE OK ROCK ,We Are,2017
Sedih,Sad,Siti nurhaliza,Seluruh cinta,2014
Bersemangat,Rock,Avenged ,Gungslinger ,2007
Sedih,Pop,Fabio,Rumah singgah,2023
Sedih,Pop,Stereo Wall ,Jakarta hari ini ,2021
Bahagia,Pop,Westlife ,My love ,2000
Bersemangat,Pop Punk,Stand Here Alone,Introvert,2023
Bersemangat,Pop,The Weekend ,Lost In The Fire,2019
Bersemangat,Metal,DeadSquad,Ilsongo,2021
Bahagia,Metal,avenged,dear gos,2007
Netral,Indie,hindia,rumah ke rumah,2019
Bersemangat,Rock,Slipknot ,Before i forget ,2004
Netral,Reggae,Dhyohaw,Cepu,2016
Netral,Reggae,tipe x,mawar hitam,2005
Sedih,EDM,martin garix,animal,2013
Sedih,Pop,st12,puspa,2008
Sedih,Pop,kerispatih,tapi bukan aku,2007
Bersemangat,Classical,mltr,paint my love,2019
Netral,Rap,yung lex,o aja ya kan,2015
Netral,Indie,fourtwenty,ku tenang,2015
Marah,Pop Punk,green day,Welcome to Paradise,1994
Sedih,Indie,fiersa besari,waktu yang salah,2014
Bersemangat,Metal,gun n roses,november rain,1991
Sedih,Pop,ST12,Cinta tak harus memiliki,2011
Marah,Pop,Naif,Benci untuk mencinta,2005
Netral,Pop,George Benson,Nothing's Gonna Change My Love For You,1985
Bersemangat,Pop,"Luis Fonsi, Daddy Yankee",Despacito,2019
Sedih,Pop,Shawn Mendes,It'll Be Okay,2021
Sedih,Pop,My Chemical Romance,Cancer,2006
Sedih,Pop,Nosstress,Istirahat,2021
Sedih,Pop,Nadin Amizah,Mendarah,2020
Marah,Pop,Lewis Capaldi,Someone You Loved,2019
Marah,Pop,Majiko,Kokoronashi,2015
Netral,Pop,"The Chainsmokers, ILLENIUM",Takeaway(feat. Lennon Stella),2019
Sedih,Pop,Adele,Someone Like You,2011
Bersemangat,Reggae,Souljah,Tak Selalu,2014
Marah,Rock,Seringai,Selamanya,2018
Sedih,Jazz,Frank Sinatra,Fly Me To The Moon,2018
Bersemangat,Pop Punk,Green Day,Basket Case,1994
Bahagia,Classical,The Smiths,There's a light that never goes out,1986
Sedih,Pop,Ateez,Mist,2019
Bersemangat,Pop,JKT48,Fortune cookie yang mencinta,2016
Sedih,Sad,Ed sheeran,Perfect,2017
Bersemangat,Rock,Bon jovi ,It’s my life ,2000
Sedih,Pop,Mahen,Pura pura lupa,2019
Sedih,Pop,5 seconds of summer ,Lie to me,2018
Bahagia,Pop,Hatsune Miku ,Miku,2016
Bersemangat,Pop Punk,Neck Deep ,She's a god,2019
Bersemangat,Pop,The 1975,It's Not Living (If It's Not With You),2018
Bersemangat,Metal,Feasrt,Peradaban ,2018
Bahagia,Metal,linkin park,numb,2003
Netral,Indie,hindia,secukupnya,2019
Bersemangat,Rock,Bon Jovi ,Thank you for loving me,2000
Netral,Reggae,Bob Marley ,No woman no cry ,1974
Netral,Reggae,shagy dog,sayidan,2021
Sedih,EDM,alan walker,faded,2018
Sedih,Pop,kangen band,doy,2008
Sedih,Pop,naff,kenanglah aku,2009
Bersemangat,Classical,westlife,my love,2000
Netral,Rap,lil pump,gucci gank,2017
Netral,Indie,payung teduh,resah,2014
Marah,Pop Punk,Neck Deep,Wish You Were Here ,2017
Sedih,Indie,hivi,remaja,2017
