Ekspresi,Gendre,Artist,Lagu,Tahun,spotify_uri
Bersemangat,Pop,One Direction,Drag me Down,2015,spotify:track:2K87XMYnUMqLcX3zvtAF4G
Bahagia,R&B,Taylor swift,Cruel Summer,2019,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr
Netral,Pop,Tulus,Monokrom,2016,spotify:track:4GfK1qOF3uBWidbPlTCQRL
Netral,Pop,Hindia,Evakuasi,2019,spotify:track:1bcIiU5FWRa2IYBqx0bk67
Netral,Pop,Nadin Amizah,Bertaut,2020,spotify:track:630DpnzdfjdVqv2yLfPbAX
Bersemangat,Pop Punk,blink 182,i miss you,2003,spotify:track:1AdYZ6X00nXmO613Y7GJOl
Netral,Pop,BTS,Dynamite,2020,spotify:track:5QDLhrAOJJdNAmCTJ8xMyW
Bahagia,Classical,Anggi marito,Tak segampang itu,2022,spotify:track:26cvTWJq2E1QqN4jyH2OTU
Bahagia,Pop,Fiersa besari,Garis waktu,2016,spotify:track:3rgw2SuhrikNzyd8pKL09s
Sedih,psychedelic rock,Pink Floyd,Breathe (in the air),1973,spotify:track:2ctvdKmETyOzPb2GiJJT53
Sedih,R&B,Isyana,Tetap dalam jiwa,2015,spotify:track:1cKm6kQLMhc7N3mHS238fk
Netral,Koplo,Denny Caknan,Cundamani,2023,spotify:track:64MmMbaX3hmAKQ6nFLJgpg
Sedih,Pop,Raissa Anggiani,Itu Aku,2023,spotify:track:5SicKKsUufuzKZASHO9eDE
Bersemangat,Pop,Chase Atlantic,Falling,2016,spotify:track:6ygRfHqWgG6bCyjnHIZmpF
Bersemangat,Pop,Sheila on Seven,Seberapa Pantas,2002,spotify:track:1BaGfrlIWinaF77p7QASBH
Bahagia,Pop,Taylor Swift,August,2020,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K
Bahagia,Pop,the upstairs,matraman,2004,spotify:track:6mvnlHczAMdRctsgfbA4tY
Netral,Pop,Lyodra,Sang Dewi,2022,spotify:track:5fDCy4Hse30ZsjaTUGKVh5
Sedih,Pop,Tulus,Jatuh Suka,2022,spotify:track:6PqWdGIYq5xdLaa4zCZfRp
Marah,70' punk,the jansen,hal yang wajar di umuran kita sekarang,2023,spotify:track:4hC3PIKiJE5QHg9wqW2kzV
Netral,Pop Punk,the jansen,kau pemeran utama,2022,spotify:track:6P3sYc1pBoSFmV5amOXykw
Bersemangat,britpop,rumahsakit,kuning,2012,spotify:track:6hq8w9e1cj0nxe0YwW3IVJ
Marah,Rock,Linkin Park,Numb,2003,spotify:track:2nLtzopw4rPReszdYBJU6h
Bersemangat,Pop,Avicii,The Nights,2014,spotify:track:0ct6r3EGTcMLPtrXHDvVjc
Sedih,Pop,Nadin Amizah,Mendarah,2020,spotify:track:75OokMC3JzPnRNXcLTAKdr
Sedih,Indie,Putri Ariani,Mimpi,2023,spotify:track:3X6e6zlWJiwpRD2HE2zkyy
Sedih,Pop,JKT48,River,2013,spotify:track:78emQpmZsROtMUSc8J6yJH
Bersemangat,Rock,the smiths,please please please let me get what i want,1984,spotify:track:6BrMEbPSSj55nQhkgf6DnE
Netral,Indie,Tulus,Bunga Tidur,2014,spotify:track:2o9AHYt8uSxS7tPnukrDaI
Bersemangat,Pop,Selena Gomez,Who Says,2011,spotify:track:3TcL0dyCMyr0kyTTc4NLgI
Bersemangat,Pop,Tulus,Gajah,2014,spotify:track:7vZTvo2aJ6wHKCGjwjdWIf
Sedih,Pop,Judika,Bagaimana kalau aku tidak baik-baik saja,2021,spotify:track:7As3vd7OvJwyGUsZfNtHce
Bersemangat,Kpop,BTS,Answer: Love Myself,2018,spotify:track:2X3UgVLSA4wYriGIQyYmMA
Sedih,Pop Punk,Hindia,Rumah ke rumah,2019,spotify:track:2wAiFWjRupWmnDkQcu91MF
Sedih,Classical,Panji Sakti,Fragmen Perahu,2022,spotify:track:1HgTy7Vgf3gcrhUTrYAUPA
Netral,Pop,Kiana Ledé,Wicked Games,2018,spotify:track:0TYhf0MgEj4YJaKwo5c4Km
Bersemangat,Metal,I Prevail,Bow Down,2019,spotify:track:5qD3Qv8Wu3r5uRD0DahcZy
Bersemangat,Reggae,Steven Coconuttreez,Lagu Santai,2008,spotify:track:5xNrCftiKTwkykqtTQLynE
Netral,Pop,Idgitaf,Satu satu,2022,spotify:track:3d6BjQ0QOLTzuKoOQbeGgG
Bersemangat,Pop,Coldplay,Adventure of a lifetime,2015,spotify:track:4d5I0HaufhFnDUjs02P0vZ
Bersemangat,Rock,Noah,Walau Habis Terang,2014,spotify:track:1Q0EFGHGCXrtdiKUwCfWno
Bahagia,R&B,Taylor swift,Lover,2019,spotify:track:1dGr1c8CrMLDpV6mPbImSI
Netral,Pop,Nadin Amizah,Rayuan perempuan gila,2023,spotify:track:1nYdkPCbHdYi4w7s2L6SHA
Netral,Pop,Adele,Easy On Me,2021,spotify:track:0gplL1WMoJ6iYaPgMCL0gX
Netral,Pop,Fiersa Besari,Garis terdepan,2015,spotify:track:7vbZI0mSwt6rpsnAoAAUns
Bersemangat,Pop Punk,Closehead,Heart of pop,2008,spotify:track:4pPAMRQQQpbo6HuUsZvEXL
Netral,Pop,Tiara Andini,Tega,2023,spotify:track:0aD0wrs2WlqnV3l7VXqlfM
Bersemangat,R&B,Hindia,Cincin,2023,spotify:track:7J0isBrUxhIYZVdrBOOlIh
Bahagia,Classical,Raim laode,Komang,2022,spotify:track:2AaaE0qvFWtyT8srKNfRhH
Bahagia,Pop,Hindia,Cincin,2023,spotify:track:7J0isBrUxhIYZVdrBOOlIh
Sedih,psychedelic rock,The Beatles,Lucy in the sky with diamonds,1967,spotify:track:25yQPHgC35WNnnOUqFhgVR
Sedih,R&B,Yura yunita,Dunia tipu-tipu,2021,spotify:track:0mMqopQJOWADJSPRMYkvTF
Netral,Koplo,Adella,Dumes,2023,spotify:track:5Cz2RK6nXnemf0OjY272Xq
Sedih,Pop,Bernadya,Satu Bulan,2023,spotify:track:7zOVh5fGpEwSbZd0g9z80B
Sedih,Pop,Adele,Easy on Me,2021,spotify:track:0gplL1WMoJ6iYaPgMCL0gX
Bahagia,Pop,GAC,Bahagia,2015,spotify:track:1FqA1hu2s1M9sNiZBy81T4
Bersemangat,Pop,JKT48,Rapsodi,2020,spotify:track:2X62SjtuwVQiGiZvZZ9Ztr
